y,x
23.73341,37.97078
23.7334,37.9708
23.73339,37.97083
23.73334,37.971
23.73329,37.97118
23.7333,37.97121
23.73332,37.97124
23.73343,37.97136
23.7335,37.97144
23.73363,37.97159
23.7337,37.97167
23.73384,37.97181
23.73397,37.97196
23.73404,37.97203
23.7341,37.9721
23.73421,37.97205
23.73442,37.97196
23.73451,37.97203
23.73453,37.97203
23.73467,37.97211
23.73472,37.97213
23.73482,37.97216
23.73494,37.97219
23.73515,37.97225
23.7352,37.97225
23.73528,37.97242
23.73535,37.97259
23.73536,37.97261
23.73546,37.97278
23.73556,37.97294
23.73564,37.97294
23.73571,37.97296
23.73578,37.973
23.73586,37.97306
23.73589,37.9731
23.73616,37.97299
23.73623,37.97291
23.73631,37.97285
23.73643,37.97274
23.7365,37.97271
23.73659,37.9727
23.73671,37.97269
23.73676,37.9727
23.73682,37.97272
23.73695,37.97275
23.73707,37.97275
23.7372,37.97272
23.73728,37.97268
23.73727,37.97275
23.73727,37.97285
23.73728,37.97304
23.73729,37.9732
23.73734,37.97318
23.73749,37.97321
23.73751,37.97322
23.73763,37.97326
23.73773,37.97331
23.73784,37.97336
23.73792,37.97353
23.738,37.9737
23.73801,37.97371
23.73811,37.97381
23.73814,37.97383
23.73819,37.97385
23.73823,37.97387
23.73826,37.97388
23.73832,37.97389
23.73845,37.97389
23.73848,37.97389
23.73859,37.9739
23.73866,37.97391
23.73881,37.97393
23.73898,37.97397
23.73904,37.97398
23.7391,37.974
23.73918,37.97405
23.73923,37.97408
23.73935,37.97415
23.73936,37.97416
23.73939,37.97418
23.73942,37.97424
23.73945,37.97432
23.73963,37.9743
23.73986,37.97428
23.74,37.97427
