y,x
23.74,37.97427
23.73986,37.97428
23.73963,37.9743
23.73945,37.97432
23.73942,37.97424
23.73939,37.97419
23.73948,37.97405
23.73949,37.97403
23.73954,37.97392
23.73955,37.97386
23.73955,37.97379
23.73956,37.97368
23.73963,37.97358
23.73968,37.97352
23.73973,37.97347
23.73976,37.97336
23.73979,37.97328
23.73979,37.97318
23.73979,37.97315
23.73977,37.97301
23.73968,37.97291
23.73962,37.97287
23.73954,37.97281
23.73939,37.97276
23.73931,37.97276
23.73924,37.97276
23.73909,37.97274
23.73909,37.97273
23.73899,37.9727
23.7389,37.97266
23.73885,37.97265
23.73879,37.97264
23.73875,37.97262
23.7386,37.97275
23.7386,37.97276
23.73855,37.97278
23.73851,37.97279
23.73846,37.97278
23.73843,37.97272
23.73828,37.97271
23.7382,37.9727
23.73817,37.97269
23.73809,37.97266
23.73807,37.97265
23.73796,37.97255
23.73794,37.97253
23.73789,37.97248
23.73782,37.97239
23.7378,37.97238
23.73766,37.97227
23.73771,37.97209
23.73771,37.97204
23.73771,37.97201
23.73769,37.97197
23.73764,37.97191
23.73759,37.97181
23.73757,37.97182
23.73743,37.97187
23.73736,37.9719
23.73715,37.97197
23.73694,37.97204
23.73685,37.97208
23.73673,37.9721
23.73651,37.97215
23.73629,37.97219
23.73619,37.97203
23.73608,37.97187
23.73598,37.97171
23.73588,37.97155
23.73578,37.97139
23.73576,37.97136
23.7357,37.97126
23.73564,37.97117
23.73542,37.97115
23.73541,37.97115
23.73528,37.97112
23.73522,37.97107
23.73512,37.97099
23.73507,37.97093
23.73493,37.97079
23.7348,37.97065
23.73479,37.97064
23.73466,37.9705
23.73453,37.97036
23.73447,37.9703
23.73443,37.97026
23.7343,37.9703
23.73413,37.97037
23.73391,37.97047
23.73368,37.97056
23.73364,37.97058
23.73352,37.97063
23.73346,37.97066
23.73341,37.97078
