y,x
23.73537,37.99502
23.73534,37.99489
23.73531,37.99474
23.73529,37.99466
23.73525,37.99448
23.73524,37.99443
23.73524,37.9944
23.73521,37.99425
23.73518,37.99407
23.73514,37.9939
23.73513,37.9938
23.73511,37.99372
23.73495,37.99364
23.73484,37.99359
23.73478,37.99352
23.73475,37.99349
23.73469,37.99341
23.73468,37.99337
23.73465,37.99326
23.73464,37.99319
23.73462,37.99301
23.73459,37.99289
23.7346,37.99284
23.7346,37.9928
23.73461,37.99272
23.73463,37.99266
23.73464,37.99263
23.73473,37.9925
23.73475,37.99247
23.73486,37.99232
23.73491,37.99225
23.73497,37.99221
23.73502,37.9922
23.73509,37.99219
23.73523,37.99218
23.73553,37.99218
23.73555,37.99222
23.73561,37.99224
23.73565,37.99224
23.73569,37.99221
23.73571,37.99218
23.73584,37.99218
