y,x
23.73584,37.99218
23.73571,37.99218
23.7357,37.9922
23.73568,37.99222
23.73568,37.99226
23.73567,37.99231
23.73568,37.99242
23.73572,37.9926
23.73576,37.99278
23.73579,37.99278
23.73581,37.9928
23.73584,37.99281
23.73586,37.99284
23.73587,37.99289
23.73586,37.99292
23.73584,37.99294
23.73582,37.99296
23.7358,37.99297
23.73576,37.99299
23.73571,37.99298
23.73571,37.99306
23.73569,37.99316
23.73567,37.99334
23.73565,37.99346
23.73566,37.99352
23.73566,37.99368
23.73567,37.9937
23.73572,37.99387
23.73572,37.99389
23.73575,37.99394
23.73565,37.99398
23.73558,37.994
23.73556,37.99402
23.73548,37.99408
23.73542,37.99416
23.7354,37.99419
23.73536,37.99427
23.73535,37.99433
23.73533,37.99441
23.73532,37.99443
23.7353,37.99445
23.73525,37.99448
23.73529,37.99466
23.73531,37.99474
23.73534,37.99489
23.73537,37.99502
